,album_id,album_name,artist_id,artist_name,duration_ms,explicit,popularity,release_date,song_name,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,album_popularity,record_label,artist_followers,artist_genres,artist_popularity
1depKpsqGCvr8wtjFFaFoO,66Pk1ZQyHpMjF2Fm7qjqQY,Cerulean,5zS8r5hRRk1jzD41yYS1NO,Baths,198400,False,50,2010-07-06,Aminals,0.021,0.74,0.698,0.751,8,0.274,-6.444,1,0.136,95.003,4,0.715,50,Basement's Basement,118946,"['chillwave', 'experimental_pop', 'freak_folk', 'indietronica', 'wonky']",47
4n1KFLI2YNlwfOYvkF7X3x,77F6qCWskHN98MG118TqiI,Obsidian,5zS8r5hRRk1jzD41yYS1NO,Baths,273880,False,41,2013-05-28,Miasma Sky,0.232,0.631,0.591,0.798,9,0.103,-11.232,0,0.0385,120.04,3,0.311,44,Basement's Basement,118946,"['chillwave', 'experimental_pop', 'freak_folk', 'indietronica', 'wonky']",47
4RF7HtVyUq4V860Jm1JztB,2HesO5Ad0SuGD7F5q1XJHn,"Olivia Nelson 'Hideaway' (K, Le Maestro Remix)",4QJrAwNc5j17E5N2PxpqGj,Olivia Nelson,194200,False,18,2018-01-19,"Olivia Nelson 'Hideaway' (K, Le Maestro Remix)",0.253,0.309,0.723,0,3,0.222,-6.169,0,0.337,182.011,4,0.299,15,Hear This Records,4490,"['alternative_r&b', 'indie_r&b', 'uk_contemporary_r&b']",50
2XW4DbS6NddZxRPm5rMCeY,1r0DOIO0iC0bGpMtWRFdde,Scary Hours,3TVXtAsR1Inumwj472S9r4,Drake,198960,True,28,2018-01-20,God's Plan,0.0309,0.758,0.448,8.67e-05,7,0.558,-9.441,1,0.103,77.176,4,0.373,25,Cash Money/Drake LP6,33178509,"['canadian_hip_hop', 'canadian_pop', 'hip_hop', 'pop_rap', 'rap']",98
5goGDc74vVREyN8al8CkPh,1r0DOIO0iC0bGpMtWRFdde,Scary Hours,3TVXtAsR1Inumwj472S9r4,Drake,255840,True,6,2018-01-20,Diplomatic Immunity,0.00534,0.655,0.839,0,9,0.308,-5.076,0,0.443,74.867,4,0.55,25,Cash Money/Drake LP6,33178509,"['canadian_hip_hop', 'canadian_pop', 'hip_hop', 'pop_rap', 'rap']",98
33fQ4JGHhdu1DUbgMOcpYp,5SRHh3nBht8VqOU8ua293L,This Side,55etRB3o03gVbdxxfWMsLs,Scotty Apex,227108,True,0,2018-01-18,This Side,0.0458,0.564,0.812,0,1,0.0924,-5.868,0,0.0528,95.057,4,0.437,0,674337 Records DK,274,[],10
5O98xwEDrazAejaaUES0Fs,1DXhXVYAhxFZF23e6tOXPh,Mottingham,4WUbuCQNGpbDrUPzKo4cCV,MTMBO,186295,False,16,2018-01-23,Mottingham,0.784,0.23,0.186,0.385,5,0.251,-15.634,0,0.0316,84.633,4,0.143,13,RAGS,1773,[],23
5vdyFUX1f1DswRYWckbp0a,3RZjhDRZJ2S6VvFAosRFtS,Check It out (Remix) [feat. Skepta],3uo0ix4Y67XHVWBhXXIY1S,Xavier Wulf,120058,False,39,2018-01-10,Check It out (Remix) [feat. Skepta],0.151,0.85,0.526,0,9,0.102,-10.911,0,0.146,156.043,4,0.659,36,HollowSquad BBK,166536,"['dark_trap', 'emo_rap', 'underground_hip_hop', 'vapor_trap']",63
2KmFKaUoWcteeDobI68uka,1gylfqMj0edhomts9vZL7d,Blood Shore Season 2,3uo0ix4Y67XHVWBhXXIY1S,Xavier Wulf,185391,True,57,2014-10-30,Thunder Man,0.00213,0.924,0.55,4.34e-05,2,0.101,-6.402,1,0.252,139.992,4,0.298,62,Hollow Squad / EMPIRE,166536,"['dark_trap', 'emo_rap', 'underground_hip_hop', 'vapor_trap']",63
3kZAm2TC74lBJFPDoV40Qc,1gylfqMj0edhomts9vZL7d,Blood Shore Season 2,3uo0ix4Y67XHVWBhXXIY1S,Xavier Wulf,135340,True,58,2014-10-30,Psycho Pass,0.0303,0.973,0.446,1.75e-05,3,0.121,-9.355,0,0.0612,115.039,4,0.265,62,Hollow Squad / EMPIRE,166536,"['dark_trap', 'emo_rap', 'underground_hip_hop', 'vapor_trap']",63
0FmrNFYyLLRtIS7XWJPLLk,4zLTA4ez8IJaXUVPi2bJ0R,Project X,3uo0ix4Y67XHVWBhXXIY1S,Xavier Wulf,150099,True,56,2015-05-08,Akina Speed Star,0.00946,0.931,0.273,0,5,0.137,-11.723,0,0.176,119.956,4,0.0603,58,Hollow Squad / EMPIRE,166536,"['dark_trap', 'emo_rap', 'underground_hip_hop', 'vapor_trap']",63
127tcXz034aBWhddJGhCB8,3IPz4Ueerq9RGN2jMlXNes,The Local Man,3uo0ix4Y67XHVWBhXXIY1S,Xavier Wulf,145057,True,38,2017-08-03,Incase They Ain't Know,0.00452,0.799,0.492,0,1,0.387,-9.932,1,0.219,151.358,4,0.203,47,The Hollow Squad,166536,"['dark_trap', 'emo_rap', 'underground_hip_hop', 'vapor_trap']",63
11k8yLVnoFseoMUq0FEKaE,3IPz4Ueerq9RGN2jMlXNes,The Local Man,3uo0ix4Y67XHVWBhXXIY1S,Xavier Wulf,156055,True,41,2017-08-03,Vain Villiage,0.639,0.914,0.442,8.23e-05,4,0.109,-10.622,1,0.0779,120.055,4,0.642,47,The Hollow Squad,166536,"['dark_trap', 'emo_rap', 'underground_hip_hop', 'vapor_trap']",63
